34222.389890414,3,17381731,100,5776600,1
34222.390311795,1,17425290,100,5777000,1
34222.390421686,3,17416566,100,5779100,-1
34222.390421686,1,17425292,100,5779200,-1
34222.39780826,4,17416529,100,5778900,-1
34222.397908912,3,17425292,100,5779200,-1
34222.397908912,1,17425667,100,5779800,-1
34222.398033049,3,17415994,100,5795800,-1
34222.398257509,1,17425684,100,5798800,-1
34222.399112147,3,17425684,100,5798800,-1
34222.399299886,1,17425716,100,5795800,-1
34222.472228243,1,17428590,120,5776800,1
34222.472335665,3,17425667,100,5779800,-1
34222.472335665,1,17428594,100,5779900,-1
34222.473289836,3,17428590,120,5776800,1
34222.473378507,1,17428634,120,5776900,1
34222.47338364,3,17428594,100,5779900,-1
34222.47338364,1,17428635,100,5779800,-1
34222.483748597,3,17428634,120,5776900,1
34222.48499841,1,17429067,120,5776900,1
34222.485080718,3,17428635,100,5779800,-1
34222.485080718,1,17429069,100,5779900,-1
34222.486098312,3,17429067,120,5776900,1
34222.486177571,3,17429069,100,5779900,-1
34222.486177571,1,17429096,100,5779800,-1
34222.487296811,1,17429144,120,5776900,1
34222.487378011,3,17429096,100,5779800,-1
34222.487378011,1,17429151,100,5779900,-1
34222.488314962,3,17429144,120,5776900,1
34222.4883924,3,17429151,100,5779900,-1
34222.4883924,1,17429187,100,5779800,-1
34222.489560317,1,17429214,120,5776900,1
34222.489647272,3,17429187,100,5779800,-1
34222.489647272,1,17429216,100,5779900,-1
34222.49067847,3,17429214,120,5776900,1
34222.490754511,3,17429216,100,5779900,-1
34222.490754511,1,17429236,100,5779800,-1
34222.492016622,1,17429271,120,5776900,1
34222.492095148,3,17429236,100,5779800,-1
34222.492095148,1,17429273,100,5779900,-1
34222.493057208,3,17429271,120,5776900,1
34222.493137397,3,17429273,100,5779900,-1
34222.493137397,1,17429297,100,5779800,-1
34222.494143089,1,17429326,120,5776900,1
34222.494263908,3,17429297,100,5779800,-1
34222.494263908,1,17429330,100,5779900,-1
34222.495157774,3,17429326,120,5776900,1
34222.495234768,3,17429330,100,5779900,-1
34222.495234768,1,17429353,100,5779800,-1
34222.496396653,1,17429374,120,5776900,1
34222.496477355,3,17429353,100,5779800,-1
34222.496477355,1,17429377,100,5779900,-1
34222.497437062,3,17429374,120,5776900,1
34222.49751575,3,17429377,100,5779900,-1
34222.49751575,1,17429412,100,5779800,-1
34222.4986834,1,17429440,120,5776900,1
34222.498764494,3,17429412,100,5779800,-1
34222.498764494,1,17429441,100,5779900,-1
34222.499824916,3,17429440,120,5776900,1
